退出中共|Quit CPC
中革中央|Chinese (Proletariat) Revolution Central (Committee)
共产党下台|Down with CPC
突破中共|Break Through CPC
废除中共|Repeal CPC
打倒中共|Down with CPC
打倒共产党|Down with the Communist Party
推翻中共|Overthrow CPC
灭中共|Destory CPC
胡温暴政|Hu (Jintao) Wen (Jiabao) Tyranny
推翻中国共产党|Overthrow Chinese Communist Party
活摘器官|Live Organ Harvesting 
大法弟子|Dafa Deciple
退党+大潮|Quit Party Wave
揭露中共|Reveal CPC
摆脱中共附体|Get Rid Of CPC Possession
法lun功|Falun Gong
法輪功|Falun Gong
法輪大法|Falun Dafa
退党+退团+退队|Quit (Communist) Party Quit (Youth) League Quit (Young Pioneers) Team
九評共產黨|Nine Commentaries on the Communist Party
退黨+大潮|Quit Party Wave
邪党+九评|Evil Party Nine Commentaries
9评共产党|Nine Commentaries on the Communist Party
九评共产党|Nine Commentaries on the Communist Party
法轮功|Falun Gong
法轮大法|Falun Dafa
零八宪章|Charter 08
茉莉花革命|Jasmine Revolution
08宪章|Charter 08
大纪元|Epoch Times
多维新闻|Duowei News
大紀元|Epoch Times
自由亚洲电台|Radio Free Asia
习禁评|Used (to) Banning Comment
习包子+习特勒|Steam Bun Xi Xi-tler
周永康+自辩书|Zhou Yongkang Self-defense Letter
我的最后陈述+薄熙来|My Last Statement Bo Xilai
曾伟+曾庆红|Zeng Wei Zeng Qinghong
江泽民+去世|Jiang Zemin Pass Away
江泽民+死了|Jiang Zemin Died
江主席+去世|President Jiang Pass Away
江主席+死|Jiang Zemin Die
江泽民其人|Jiang Zemin the Person
江泽民病逝|Jiang Zemin Die Of Illness
江蛤蟆|Jiang Toad
習包子+習特勒|Xi Bun Xi-tler
江澤民+死了|Jiang Zemin Died
江澤民其人|Jiang Zemin the Person
习近平阵营+江派|Xi Jinping Camp Jiang Clique
十九大争夺战|19th Party Congress Power Fight
彭麻麻+暗斗宋贵妃|Peng Mama Secretly Fight Song Imperial Concubine
老江+气杀习大大|Old Jiang More Fierce Than Uncle Xi
韩正+取代李克强|Han Zheng Took Over Li Keqiang
周永康+薄熙来+政变|Zhou Yongkang Bo Xilai Coup
江泽民+江家帮|Jiang Zemin Jiang Family Clique
软禁+江泽民|House Arrest Jiang Zemin
習近平陣營+江派|Xi Jinping Camp Jiang Clique
彭麻麻+暗鬥宋貴妃|Peng Mama Secretly Fight Song Imperial Concubine
老江+氣殺習大大|Old Jiang More Fierce Than Uncle Xi
韓正+取代李克強|Han Zheng Took Over Li Keqiang
軟禁+江澤民|House Arrest Jiang Zemin
好莱坞艳照门种子|Hollywood Sex Photo Gate Torrent
坚守科巴尼+叙利亚|Hold Fast Kobani Syria
六四+中共+武力镇压|June 4 CCP violent crackdown
六四平反|June 4 Vindication
六四+赵紫阳+镇压|June 4 Zhao Ziyang Crackdown
天安门六四|Tiananmen June 4
六四天安门|June 4 Tiananmen
纪念六四|Memorize June 4
八九学潮|Eight Nine Student Strike
八九六四|Eight Nine Six Four
八九学运|Eight Nine Student Movement
八九暴乱|Eight Nine Riot
八九民运|Eight Nine Democrative Movement
八九民運|Eight Nine Democrative Movement
八九血案|Eight Nine Blood Case
六四+公开信|June 4 Open Letter
六四动乱|June 4 Riot
六四大屠杀|June 4 Mass Murder
六四戒严部队|June 4 Martial Law Army
坦克+六四+屠杀|Tank June 4 Murder
六四日记|June 4 Diary
六四暴乱|June 4 Riot
六四烛光集会|June 4 Candle Vigil
六四血腥屠杀|June 4 Bloody Murder
六四风波|June 4 Turmoil
勿忘六四|Don't Forget June 4
六四事件+邓小平|June 4 Incident Deng Xiaoping
吾尔开希|Wu'er Kaixi
捌玖陆肆|8964
血腥清场内幕|Bloody Clearance Inside Story
天安门坦克|Tiananmen Tank
天安门屠杀|Tiananmen Murder
天安门母亲|Tiananmen Mother
天安门流血|Tiananmen Bleeding
天安门自焚|Tiananmen Self-immolation 
天安门风波|Tiananmen Turmoil
六四+血腥+镇压|June 4 Bloody Crackdown
毋忘六四|Don't Forget June 4
绝食+声援学生+天安门广场|Hunger Strike Support Student Tiananmen Square
天安门学潮|Tiananmen Student Srike
记念六四|Memorize June 4
赵紫阳+六四自辩|Zhao Ziyang June 4 Self-defense
八酒六四|Homonym of 8964
六四学潮|June 4 Student Strike
89民运+邓小平+镇压|89 Democracy Movement Deng Xiaoping Crackdown
中共+血腥镇压+专制|CCP Bloody Crackdown Dictatorship
平反六四|Vindicate June 4
六四+公開信|June 4 Open Letter
六四+坦克+屠城|June 4 Tank Mass Murder
六四日記|June 4 Diary
六四+悼念+烛光晚会|June 4 Memory Candle Vigil
六四纪念馆|June 4th Memorial
六四+刘晓波|June 4 Liu Xiaobo
天安门屠夫|Tiananmen Murderer
镇压学生+戒严部队+天安门广场|Crackdown Student Martial Law Troup Tiananmen Square 
六四+方励之|June 4 Fang Lizhi
六四+屠杀+赵紫阳|June 4 Murder Zhao Ziyang
六四+纪念+王丹|June 4 Memorize Wang Dan
江绵恒+软禁|Jiang Mianheng House Arrest
六四+中共+专制|June 4 CCP Dictatorship
许家屯+六四|Xu Jiatun June 4
六四镇压+中共|June 4 Crackdown CCP
六四+赵紫阳+坦克|June 4 Zhao Ziyang Tank
坦克+王维林+六四|Tank Wang Weilin June 4
天安门+太子党+事件|Tiananmen Princling Event
六四+学潮+民运|June 4 Student Strike Democracy Movement
开枪+示威+1989年+天安门|Shoot Gun Demonstration Year 1989 Tiananmen
动乱+学潮+1989风波|Riot Student Strike 1989 Turmoil
真相+共产党+64屠杀|Truth Communist Party 64 Massacre
六四+天安门广场|June 4 Tiananmen Square
天安门虐杀|Tiananmen Torture and Murder
六四纪念+维园|June 4 Memorial Victorial Park
历史的伤口+8964|Wounds of History 8964
六四+坦克人+学生|June 4 Tank Man Student
天安门大屠杀|Tiananmen Massacre
六四+赵紫阳+软禁|June 4 Zhao Ziyang House Arrest
六四+血案+邓小平|June 4 Blood Case Deng Xiaoping
李鹏+绝食的学生+天安门广场|Li Peng Student on Hunger Strike Tiananmen Square
悼念+维园+六四|Memorial Victoria Park June 4
六四+學生+民主運動|June 4 Student Democracy Movement
六四大屠殺|June 4 Massacre
六四事件+鄧小平|June 4 Event Deng Xiaoping
六四+血腥+鎮壓|June 4 Bloody Crackdown
六四紀念館|June 4 Museum
六四+劉曉波|June 4 Liu Xiaobo
鎮壓學生+戒嚴部隊+天安門廣場|Crackdown Student Martial Law Troup Tiananmen Square 
六四+屠殺+趙紫陽|June 4 Murder Zhao Ziyang
六四紀念+維園|June 4 Memorial Victoria Park
天安门事件|Tiananmen Incident
89年+北京戒严|89 Year Beijing Martial Law
1989+屠杀+天安门广场|1989 Murder Tiananmen Square
1989+民主运动|1989 Democarcy Movement
六四学生领袖|June 4 Student Leader
平反64|Vindicate June 4
血腥+天安门|Bloody Tiananmen
8964+屠杀+纪念|8964 Murder Memorial
